id,location_id,service_id,weekday,opens_at,closes_at
2,1,,Tuesday,9:30,5:00 PM
3,1,,Wednesday,9:30,5:00 PM
4,1,,Thursday,9:30,5:00 PM
5,1,,Friday,9:00,4:00 PM
1,1,1,Thursday,10:00,13:45
6,4,,Sunday,0:00,11:59 PM
7,4,,Monday,0:00,11:59 PM
8,4,,Tuesday,0:00,11:59 PM
9,4,,Wednesday,0:00,11:59 PM
10,4,,Thursday,0:00,11:59 PM
11,4,,Friday,0:00,11:59 PM
12,4,,Saturday,0:00,11:59 PM
13,5,,Sunday,0:00,11:59 PM
14,5,,Monday,0:00,11:59 PM
15,5,,Tuesday,0:00,11:59 PM
16,5,,Wednesday,0:00,11:59 PM
17,5,,Thursday,0:00,11:59 PM
18,5,,Friday,0:00,11:59 PM
19,5,,Saturday,0:00,11:59 PM
20,6,,Sunday,0:00,11:59 PM
21,6,,Monday,0:00,11:59 PM
22,6,,Tuesday,0:00,11:59 PM
23,6,,Wednesday,0:00,11:59 PM
24,6,,Thursday,0:00,11:59 PM
25,6,,Friday,0:00,11:59 PM
26,6,,Saturday,0:00,11:59 PM
